Date,Description,Amount
05/04,Payment Thank You-Mobile,-250.0
05/18,Payment Thank You-Mobile,-278.83
05/27,Payment Thank You-Mobile,-242.54
05/02,MBTA-550011645193-7715 BOSTON MA,1.7
05/01,LUCKY STRIKE - 786 - CHEE BOSTON MA,30.5
05/03,HILLSIDE MARKET BOSTON MA,1.66
05/02,SQ *GY.RO?SCOPE GREEK Boston MA,14.18
05/03,TRADER JOE S #566 BOSTON MA,3.69
05/04,MBTA-550011645193-7715 BOSTON MA,2.4
05/05,MBTA-550011645193-7715 BOSTON MA,2.4
05/04,TRADER JOE S #501 BROOKLINE MA,38.22
05/05,COSTCO WHSE #0333 EVERETT MA,3.73
05/05,COSTCO WHSE #0333 EVERETT MA,184.28
05/06,MCDONALD'S F4876 NEWTON U F MA,6.42
05/10,FROYOWORLD ALSTON ALLSTON MA,12.85
05/10,HILLSIDE MARKET BOSTON MA,20.4
05/10,MBTA-550011645193-7715 BOSTON MA,2.4
05/12,NJT RAIL MY-TIX 973-378-6339 NJ,17.5
05/14,MTA*NYCT PAYGO NEW YORK NY,2.9
05/22,WEGMAN S #96 BRIDGEWATER NJ,122.86
05/22,APPLEBEES 9466 BRIDGEWATER NJ,119.68
05/25,ACME 2827 OLD BRIDGE NJ,3.99
05/25,OASIS MARKETS OLD BRIDGE NJ,7.45
05/27,MARSHALLS # 1116 SANTA BARBARA CA,18.56
05/27,PHX PEI WEI N1 6301389 PHOENIX AZ,14.12
05/27,IN-N-OUT GOLETA GOLETA CA,6.57
05/28,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,20.0
05/29,SQ *SUSHI AI Goleta CA,42.38
05/28,SUPER CUCAS ISLA VISTA GOLETA CA,14.67
05/30,ALBERTSONS #0354 GOLETA CA,60.73
06/01,SQ *I.V. DRIP Isla Vista CA,14.5
06/01,FREEBIRDS GOLETA CA,20.96
06/02,SQ *I.V. DRIP Isla Vista CA,7.25
